464,01d,A,APC-WAR1,Mecklenburg Sheriff Arrest Processing Center Warrant 1,Corrections,Mecklenburg Sheriff,2
496,01f,A,ARREST,Mecklenburg Sheriff Jail Calling,Corrections,Mecklenburg Sheriff,2
528,21,A,MCJA-3,Mecklenburg Sheriff Jail Annex 3,Corrections,Mecklenburg Sheriff,2
560,23,A,APC-WAR2,Mecklenburg Sheriff Arrest Processing Center Warrant 2,Corrections,Mecklenburg Sheriff,2
592,25,A,MCJHR-2,Mecklenburg Sheriff Jail HR 2,Corrections,Mecklenburg Sheriff,2
624,27,A,MCJHR-3,Mecklenburg Sheriff Jail HR 3,Corrections,Mecklenburg Sheriff,2
656,29,A,MEC EVT1 EOC,Mecklenburg Event 1 - EOC,Interop,Mecklenburg Common/Mutual Aid,2
688,02b,A,MEC EVT2 FIR,Mecklenburg Event 2 - Fire,Interop,Mecklenburg Common/Mutual Aid,2
720,02d,A,MEC EVT3 EMS,Mecklenburg Event 3 - EMS,Interop,Mecklenburg Common/Mutual Aid,2
752,02f,A,MEC EVT4 POL,Mecklenburg Event 4 - Police,Interop,Mecklenburg Common/Mutual Aid,2
784,31,A,MEC EVT5 PW1,Mecklenburg Event 5 - Public Works 1,Interop,Mecklenburg Common/Mutual Aid,2
816,33,A,MEC EVT6 PW2,Mecklenburg Event 6 - Public Works 2,Interop,Mecklenburg Common/Mutual Aid,2
848,35,A,MEC EVT7 CFD,Mecklenburg Event 7 - Charlotte Fire,Interop,Mecklenburg Common/Mutual Aid,2
880,37,A,MEC EVT8 VFD,Mecklenburg Event 8 - Volunteer Fire,Interop,Mecklenburg Common/Mutual Aid,2
912,39,A,MEC EVT9 NM,Mecklenburg Event 9 - North Mecklenburg 1,Interop,Mecklenburg Common/Mutual Aid,2
944,03b,A,MEC EVT10 NM,Mecklenburg Event 10 - North Mecklenburg 2,Interop,Mecklenburg Common/Mutual Aid,2
976,03d,A,MEC EVT11 ST,Mecklenburg Event 11 - South Towns 1,Interop,Mecklenburg Common/Mutual Aid,2
1008,03f,A,MATTHWPD,Dispatch (includes Mint Hill),Law Dispatch,Matthews ,2
1040,41,A,PATROL 1,Patrol 1,Law Tac,Matthews ,2
1072,43,A,PATROL 2,Patrol 2,Law Tac,Matthews ,2
1104,45,A,MPD-INV-1,Investigations 1,Law Tac,Matthews ,2
1168,49,A,MPD-TAC-1,Tactical 1,Law Tac,Matthews ,2
1200,04b,A,MPD-TAC-2,Tactical 2,Law Tac,Matthews ,2
1232,04d,A,MATTPDSUP1,Supervisor 1,Law Talk,Matthews ,2
1936,79,A,CATSTECH,CATS Technology,Transportation,Charlotte Area Transit System (CATS),2
2064,81,A,MEC POL MA,Mecklenburg Police Mutual Aid,Interop,Mecklenburg Common/Mutual Aid,2
2096,83,A,MEC FIR MA,Mecklenburg Fire Mutual Aid,Interop,Mecklenburg Common/Mutual Aid,2
2128,85,A,MEC EMS MA,Mecklenburg EMS Mutual Aid,Interop,Mecklenburg Common/Mutual Aid,2
2160,87,A,PW M/AID,Public Works Mutual Aid,Public Works,Charlotte-Mecklenburg Services,2
2192,89,A,MA-SEC,Security Net,Interop,Mecklenburg Common/Mutual Aid,2
2224,08b,A,MA-GOV,"Local Government Mutual Aid (All Agencies, not used)",Interop,Mecklenburg Common/Mutual Aid,2
2352,93,A,NCHWYPAT-1,Highway Patrol (42.38/42.58 simulcast) Mecklenburg County Troop H5,Law Dispatch,North Carolina State Police,2
2384,95,A,NCHWYPAT-2,"Highway Patrol (42.xx/42.xx simulcast) Gaston County Troop H1,H4",Law Dispatch,North Carolina State Police,2
2416,97,A,STORM-2,Storm 2,Interop,Mecklenburg Common/Mutual Aid,2
2448,99,A,MEC EVT12 ST,Mecklenburg Event 12 - South Towns 2,Interop,Mecklenburg Common/Mutual Aid,2
2480,09b,A,MEC EVT13 SO,Mecklenburg Event 13 - Mecklenburg Sheriff 1,Interop,Mecklenburg Common/Mutual Aid,2
2512,09d,A,MEC EVT14 SO,Mecklenburg Event 14 - Mecklenburg Sheriff 2,Interop,Mecklenburg Common/Mutual Aid,2
2544,09f,A,MEC EVT15 CF,Mecklenburg Event 15 - Charlotte Fire,Interop,Mecklenburg Common/Mutual Aid,2
2576,0a1,A,MEC EVT16 CF,Mecklenburg Event 16 - Charlotte Fire,Interop,Mecklenburg Common/Mutual Aid,2
2800,0af,A,RADIOROAM,Radio Service - Roam Dispatch,Other,Mecklenburg Common/Mutual Aid,2
2832,0b1,A,RADIOROAM1,Radio Service - Roam 1,Other,Mecklenburg Common/Mutual Aid,2
2864,0b3,A,RADIOROAM2,Radio Service - Roam 2,Other,Mecklenburg Common/Mutual Aid,2
2896,0b5,A,RADIOROAM3,Radio Service - Roam 3,Other,Mecklenburg Common/Mutual Aid,2
2960,0b9,A,MEC EMG 3,Mecklenburg Emergency 3,Multi-Tac,Mecklenburg EMS/Fire,2
2992,0bb,A,BRIDGE-4,Emergency Bridge,Interop,Mecklenburg Common/Mutual Aid,2
3024,0bd,A,MCJC-MC,Mecklenburg Sheriff Jail Central Main Channel,Corrections,Mecklenburg Sheriff,2
3216,0c9,A,WRRC-MC,Mecklenburg Sheriff Work Restitution & Rehabilitation Center Main Channel,Corrections,Mecklenburg Sheriff,2
3248,0cb,A,MCSO-SERT,Mecklenburg Sheriff Swift Emergency Response Team,Law Tac,Mecklenburg Sheriff,2
3280,0cd,A,MCSO-BR-EMG,Mecklenburg Sheriff BR Emergency,Law Tac,Mecklenburg Sheriff,2
3312,0cf,A,BUSES1,Buses 1,Transportation,Charlotte Area Transit System (CATS),2
3344,0d1,A,BUSES,Buses,Transportation,Charlotte Area Transit System (CATS),2
3376,0d3,A,BUSES,Buses,Transportation,Charlotte Area Transit System (CATS),2
3440,0d7,A,MCSO-CONF,Mecklenburg Sheriff Conference,Law Talk,Mecklenburg Sheriff,2
3472,0d9,A,MCSO-ADMN,Mecklenburg Sheriff Administration,Law Talk,Mecklenburg Sheriff,2
3504,0db,A,MCJHR,Mecklenburg Sheriff Jail HR Main Channel,Corrections,Mecklenburg Sheriff,2
3536,0dd,A,NCDOT-1,Incident Management Assistance Patrol,Other,Charlotte-Mecklenburg Services,2
3568,0df,A,TMC-1,Traffic Management,Other,Charlotte-Mecklenburg Services,2
3600,0.00E+00,A,TRAFFICSIG,Traffic Signals,Other,Charlotte-Mecklenburg Services,2
3632,0.00E+00,A,MCJC-2,Mecklenburg Sheriff Jail Central 2,Corrections,Mecklenburg Sheriff,2
3664,0.00E+00,A,MCJC-3,Mecklenburg Sheriff Jail Central 3,Corrections,Mecklenburg Sheriff,2
3696,0.00E+00,A,MCJC-4,Mecklenburg Sheriff Jail Central 4,Corrections,Mecklenburg Sheriff,2
3728,0.00E+00,A,MCJC-5,Mecklenburg Sheriff Jail Central 5,Corrections,Mecklenburg Sheriff,2
3792,0ed,A,WRRC-2,Mecklenburg Sheriff Work Restitution & Rehabilitation Center 2,Corrections,Mecklenburg Sheriff,2
3824,0ef,A,WRRC-3,Mecklenburg Sheriff Work Restitution & Rehabilitation Center 3,Corrections,Mecklenburg Sheriff,2
3856,0f1,A,WRRC-4,Mecklenburg Sheriff Work Restitution & Rehabilitation Center 4,Corrections,Mecklenburg Sheriff,2
3888,0f3,A,WRRC-5,Mecklenburg Sheriff Work Restitution & Rehabilitation Center 5,Corrections,Mecklenburg Sheriff,2
4080,0ff,A,ROADSIGNS,Public Works-Road Signs,Other,Charlotte-Mecklenburg Services,2
4144,103,A,ROADWORK,Road Work Crew,Other,Charlotte-Mecklenburg Services,2
4176,105,A,ROADWORK,Road work crew,Other,Charlotte-Mecklenburg Services,2
4208,107,A,TRAFFICCTRL,Traffic Control Center - Computerized lights and signs,Other,Charlotte-Mecklenburg Services,2
4336,10f,A,CMCAIRCRE,CMC AirCare Flight Watch Helicopters - Ground Dispatch,EMS Dispatch,Carolina's Medical Center,2
4368,111,A,CMCDISP2,CMC Helicopter Dispatch 2,EMS Dispatch,Carolina's Medical Center,2
4400,113,A,CMC MED 1,Operations,Hospital,Carolina's Medical Center,2
4432,115,A,CMC MED 2,Operations,Hospital,Carolina's Medical Center,2
4464,117,A,CMC OPS 1,CMC Tactical Operations - Panthers (Bank of America) Stadium,Hospital,Carolina's Medical Center,2
4496,119,A,CMC OPS 2,Operations,Hospital,Carolina's Medical Center,2
4528,11b,A,CMC OPS 3,Operations,Hospital,Carolina's Medical Center,2
4560,11d,A,CMC OPS 4,Operations,Hospital,Carolina's Medical Center,2
4592,11f,A,CMC-LZ-1,Landing Zone Coordination,Hospital,Carolina's Medical Center,2
4624,121,A,CMC-LZ-2,Landing Zone Coordination,Hospital,Carolina's Medical Center,2
4720,127,A,Roads Maint,Road Work Crews,Public Works,Charlotte-Mecklenburg Services,2
4784,12b,A,UNC-EVNT-1,Event 1,Schools,University of North Carolina - Charlotte,2
4816,12d,A,UNC-EVNT-2,Event 2,Schools,University of North Carolina - Charlotte,2
4848,12f,A,UNC-EVNT-3,Event 3,Schools,University of North Carolina - Charlotte,2
4880,131,A,UNCPD-COMMON,Police Common,Law Tac,University of North Carolina - Charlotte,2
4912,133,A,UNCPD-PTRL-1,Police Patrol 1,Law Dispatch,University of North Carolina - Charlotte,2
4944,135,A,UNCPD-PTRL-2,Police Patrol 2,Law Tac,University of North Carolina - Charlotte,2
4976,137,A,UNCPD-CONFR,Police Conference,Law Tac,University of North Carolina - Charlotte,2
5008,139,A,UNCPD-SERVC,Police Service,Law Tac,University of North Carolina - Charlotte,2
5040,13b,A,UNCPD-TRNING,Police Training,Law Tac,University of North Carolina - Charlotte,2
5072,13d,A,UNC-LIBRARY,Library,Schools,University of North Carolina - Charlotte,2
5104,13f,A,UNC-LBRY-ADM,Library Administration,Schools,University of North Carolina - Charlotte,2
5136,141,A,UNC-LBRY-SEC,Library Security,Security,University of North Carolina - Charlotte,2
5168,143,A,UNC-LBRY-CNF,Library Conference,Schools,University of North Carolina - Charlotte,2
5392,151,A,GOVSECURTY,Charlotte Mecklenburg Government Center security,Security,Miscellaneous,2
5712,165,A,CMS-LAW-3,CMS Police 3,Law Dispatch,Charlotte-Mecklenburg Schools,2
5808,16b,A,SCHOOLMAIN,School Maintenance,Schools,Charlotte-Mecklenburg Schools,2
6192,183,A,BUSES,Buses,Transportation,Charlotte Area Transit System (CATS),2
6448,193,A,MEC EMS DSP,Mecklenburg EMS Dispatch,EMS Dispatch,Mecklenburg EMS/Fire,2
6480,195,A,MEC OPS 14,Mecklenburg Operations 14,Multi-Tac,Mecklenburg EMS/Fire,2
6512,197,A,MEC OPS 15,Mecklenburg Operations 15,Multi-Tac,Mecklenburg EMS/Fire,2
6544,199,A,MEC OPS 16,Mecklenburg Operations 16,Multi-Tac,Mecklenburg EMS/Fire,2
6576,19b,A,MEC OPS 17,Mecklenburg Operations 17,Multi-Tac,Mecklenburg EMS/Fire,2
6608,19d,A,MEC OPS 6,Mecklenburg Operations 6,Multi-Tac,Mecklenburg EMS/Fire,2
6672,1a1,A,MEC OPS 18,Mecklenburg Operations 18,Multi-Tac,Mecklenburg EMS/Fire,2
6768,1a7,A,MEC OPS 19,Mecklenburg Operations 19,Multi-Tac,Mecklenburg EMS/Fire,2
6800,1a9,A,MEC OPS 20,Mecklenburg Operations 20,Multi-Tac,Mecklenburg EMS/Fire,2
6832,1ab,A,MEC OPS 21,Mecklenburg Operations 21,Multi-Tac,Mecklenburg EMS/Fire,2
7120,1bd,A,JONSMITHPD1,Jonson C. Smith University Police Ch. 1 Main,Security,Miscellaneous,2
7152,1bf,A,JONSMITHPD2,Jonson C. Smith University Police Ch. 2,Security,Miscellaneous,2
7184,1c1,A,JONSMITHPD3,Jonson C. Smith University Police Ch. 3,Security,Miscellaneous,2
7248,1c5,A,MEC FIR DSP,Mecklenburg Fire Dispatch,Multi-Dispatch,Mecklenburg EMS/Fire,2
7280,1c7,A,MEC OPS 12,Mecklenburg Operations 12,Multi-Tac,Mecklenburg EMS/Fire,2
7312,1c9,A,MEC OPS 3,Mecklenburg Operations 3,Multi-Tac,Mecklenburg EMS/Fire,2
7344,1cb,A,MEC OPS 4,Mecklenburg Operations 4,Multi-Tac,Mecklenburg EMS/Fire,2
7376,1cd,A,MEC OPS 5,Mecklenburg Operations 5,Multi-Tac,Mecklenburg EMS/Fire,2
7408,1cf,A,MEC OPS 13,Mecklenburg Operations 13,Multi-Tac,Mecklenburg EMS/Fire,2
7440,1d1,A,MCFD-FMO,Fire Marshal,Fire-Tac,Mecklenburg EMS/Fire,2
7472,1d3,A,MEC CONF,Mecklenburg Conference,Fire-Tac,Mecklenburg EMS/Fire,2
7600,1db,A,MECKTRASH,Public Works - Sanitation,Other,Charlotte-Mecklenburg Services,2
7664,1df,A,MECKTRASH,Refuse Collection,Other,Charlotte-Mecklenburg Services,2
7728,1.00E+03,A,MECKTRASH,Refuse Collection,Other,Charlotte-Mecklenburg Services,2
7792,1.00E+07,A,REFUSE,Refuse Collection,Other,Charlotte-Mecklenburg Services,2
7824,1.00E+09,A,MECKTRASH,Refuse / Recycle Vehicles,Other,Charlotte-Mecklenburg Services,2
7856,1eb,A,MECKTRASH,Public Works - Sanitation,Other,Charlotte-Mecklenburg Services,2
7888,1ed,A,MECKTRASH,Public Works - Sanitation,Other,Charlotte-Mecklenburg Services,2
8912,22d,A,NORTH,North Divison Dispatch,Law Dispatch,Charlotte-Mecklenburg Police North Division,2
10384,289,A,CITYMANAGE,Charlotte City Management,Other,Charlotte-Mecklenburg Services,2
10544,293,A,CENTRAL,Central Divison,Law Tac,Charlotte-Mecklenburg Police Central Division,2
11280,2c1,A,RAIL-PLATFRM,Light Rail Platforms,Railroad,Charlotte Area Transit System (CATS),2
11696,2db,A,CATS,CATS,Transportation,Charlotte Area Transit System (CATS),2
11760,2df,A,LT-RAIL-OP1,Light Rail Ch. 1,Railroad,Charlotte Area Transit System (CATS),2
11792,2.00E+01,A,LT-RAIL-OP2,Light Rail Ch. 2,Railroad,Charlotte Area Transit System (CATS),2
11824,2.00E+03,A,LT-RAIL-OP3,Light Rail Ch. 3,Railroad,Charlotte Area Transit System (CATS),2
11856,2.00E+05,A,LT-RAIL-OP4,Light Rail Ch. 4,Railroad,Charlotte Area Transit System (CATS),2
11984,2ed,A,CMS-EVAC-1,School Evacuations 1,Other,Charlotte-Mecklenburg Schools,2
12016,2ef,A,CMS-EVAC-2,School Evacuations 2,Security,Charlotte-Mecklenburg Schools,2
12144,2f7,A,MEC OPS 7,Mecklenburg Operations 7,Multi-Tac,Mecklenburg EMS/Fire,2
12176,2f9,A,MEC OPS 8,Mecklenburg Operations 8,Multi-Tac,Mecklenburg EMS/Fire,2
12208,2fb,A,MEC OPS 9,Mecklenburg Operations 9,Multi-Tac,Mecklenburg EMS/Fire,2
12240,2fd,A,MEC OPS 10,Mecklenburg Operations 10,Multi-Tac,Mecklenburg EMS/Fire,2
